F_val_m,mu_m,sh_val,repeat_num,t_f
1.1,0.06999999999999999,0,13,175
1.1,0.06999999999999999,0,14,969
1.1,0.06999999999999999,0,15,390
1.1,0.06999999999999999,0,16,221
1.1,0.06999999999999999,0,17,454
1.1,0.06999999999999999,0,18,515
1.1,0.06999999999999999,0,19,4052
1.1,0.06999999999999999,0,20,117
1.1,0.06999999999999999,0,21,1999
1.1,0.06999999999999999,0,22,1071
1.1,0.06999999999999999,0,23,1221
1.1,0.06999999999999999,0,24,797
1.1,0.06999999999999999,0,25,2692
1.1,0.08,0,1,1970
1.1,0.08,0,2,704
1.1,0.08,0,3,258
1.1,0.08,0,4,1698
1.1,0.08,0,5,827
1.1,0.08,0,6,2743
1.1,0.08,0,7,891
1.1,0.08,0,8,1032
1.1,0.08,0,9,1219
1.1,0.08,0,10,354
1.1,0.08,0,11,264
1.1,0.08,0,12,601
1.1,0.08,0,13,95
1.1,0.08,0,14,807
1.1,0.08,0,15,123
1.1,0.08,0,16,946
1.1,0.08,0,17,753
1.1,0.08,0,18,544
1.1,0.08,0,19,1462
1.1,0.08,0,20,1678
1.1,0.08,0,21,119
1.1,0.08,0,22,1758
1.1,0.08,0,23,95
1.1,0.08,0,24,1410
1.1,0.08,0,25,699
0.8,0.01,0.05,1,34
0.8,0.01,0.05,2,38
0.8,0.01,0.05,3,36
0.8,0.01,0.05,4,25
0.8,0.01,0.05,5,40
0.8,0.01,0.05,6,27
0.8,0.01,0.05,7,19
0.8,0.01,0.05,8,38
0.8,0.01,0.05,9,82
0.8,0.01,0.05,10,31
0.8,0.01,0.05,11,29
0.8,0.01,0.05,12,18
0.8,0.01,0.05,13,27
0.8,0.01,0.05,14,16
0.8,0.01,0.05,15,38
0.8,0.01,0.05,16,32
0.8,0.01,0.05,17,25
0.8,0.01,0.05,18,26
0.8,0.01,0.05,19,26
0.8,0.01,0.05,20,16
0.8,0.01,0.05,21,17
0.8,0.01,0.05,22,19
0.8,0.01,0.05,23,31
0.8,0.01,0.05,24,33
0.8,0.01,0.05,25,16
0.8,0.02,0.05,1,19
0.8,0.02,0.05,2,32
0.8,0.02,0.05,3,38
0.8,0.02,0.05,4,13
0.8,0.02,0.05,5,14
0.8,0.02,0.05,6,24
0.8,0.02,0.05,7,17
0.8,0.02,0.05,8,20
0.8,0.02,0.05,9,22
0.8,0.02,0.05,10,31
0.8,0.02,0.05,11,24
0.8,0.02,0.05,12,36
0.8,0.02,0.05,13,26
0.8,0.02,0.05,14,13
0.8,0.02,0.05,15,13
0.8,0.02,0.05,16,11
0.8,0.02,0.05,17,26
0.8,0.02,0.05,18,47
0.8,0.02,0.05,19,25
0.8,0.02,0.05,20,29
0.8,0.02,0.05,21,13
0.8,0.02,0.05,22,24
0.8,0.02,0.05,23,11
0.8,0.02,0.05,24,35
0.8,0.02,0.05,25,34
0.8,0.03,0.05,1,24
0.8,0.03,0.05,2,10
0.8,0.03,0.05,3,27
0.8,0.03,0.05,4,36
0.8,0.03,0.05,5,23
0.8,0.03,0.05,6,27
0.8,0.03,0.05,7,17
0.8,0.03,0.05,8,33
0.8,0.03,0.05,9,23
0.8,0.03,0.05,10,27
0.8,0.03,0.05,11,13
0.8,0.03,0.05,12,21
0.8,0.03,0.05,13,32
0.8,0.03,0.05,14,37
0.8,0.03,0.05,15,25
0.8,0.03,0.05,16,35
0.8,0.03,0.05,17,22
0.8,0.03,0.05,18,15
0.8,0.03,0.05,19,30
0.8,0.03,0.05,20,28
0.8,0.03,0.05,21,33
0.8,0.03,0.05,22,23
0.8,0.03,0.05,23,33
0.8,0.03,0.05,24,24
0.8,0.03,0.05,25,19
0.8,0.04,0.05,1,26
0.8,0.04,0.05,2,28
0.8,0.04,0.05,3,23
0.8,0.04,0.05,4,26
0.8,0.04,0.05,5,22
0.8,0.04,0.05,6,34
0.8,0.04,0.05,7,12
0.8,0.04,0.05,8,13
0.8,0.04,0.05,9,25
0.8,0.04,0.05,10,11
0.8,0.04,0.05,11,14
0.8,0.04,0.05,12,23
0.8,0.04,0.05,13,52
0.8,0.04,0.05,14,37
0.8,0.04,0.05,15,18
0.8,0.04,0.05,16,15
0.8,0.04,0.05,17,25
0.8,0.04,0.05,18,29
0.8,0.04,0.05,19,31
0.8,0.04,0.05,20,20
0.8,0.04,0.05,21,32
0.8,0.04,0.05,22,29
0.8,0.04,0.05,23,23
0.8,0.04,0.05,24,13
0.8,0.04,0.05,25,16
0.8,0.05,0.05,1,17
0.8,0.05,0.05,2,25
0.8,0.05,0.05,3,38
0.8,0.05,0.05,4,15
0.8,0.05,0.05,5,56
0.8,0.05,0.05,6,30
0.8,0.05,0.05,7,25
0.8,0.05,0.05,8,15
0.8,0.05,0.05,9,41
0.8,0.05,0.05,10,18
0.8,0.05,0.05,11,29
0.8,0.05,0.05,12,23
0.8,0.05,0.05,13,18
0.8,0.05,0.05,14,35
0.8,0.05,0.05,15,35
0.8,0.05,0.05,16,31
0.8,0.05,0.05,17,35
0.8,0.05,0.05,18,33
